Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
32	MYL	Mylan Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2014-09-10	2014-09-17	2014-09-18	2014-09-24	2014-10-17	2014-11-17	2015-03-16
33	MYL	Mylan Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-11-18	2013-11-25	2013-11-26	2013-12-02	2013-12-25	2014-01-24	2014-05-26
34	MYL	Mylan Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-11-19	2013-11-26	2013-11-27	2013-12-03	2013-12-26	2014-01-27	2014-05-26
35	STX	Seagate Technology.	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2013-01-25	2013-02-01	2013-02-04	2013-02-08	2013-03-04	2013-04-02	2013-07-31
36	STX	Seagate Technology.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2012-08-23	2012-08-30	2012-08-31	2012-09-06	2012-10-01	2012-10-29	2013-02-26
37	VIAB	Viacom Inc.	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2014-01-09	2014-01-16	2014-01-17	2014-01-23	2014-02-17	2014-03-17	2014-07-15
38	VIAB	Viacom Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-04-10	2013-04-17	2013-04-18	2013-04-24	2013-05-17	2013-06-17	2013-10-14
39	VIAB	Viacom Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2014-05-19	2014-05-26	2014-05-27	2014-06-02	2014-06-25	2014-07-25	2014-11-24
40	VIAB	Viacom Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-03-19	2013-03-26	2013-03-27	2013-04-02	2013-04-25	2013-05-27	2013-09-23
41	VIAB	Viacom Inc.	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2013-09-19	2013-09-26	2013-09-27	2013-10-03	2013-10-28	2013-11-25	2014-03-25
