Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
32	GEL	Genesis Energy, L.P.	Lowenthal, Alan (D-Calif)	Purchased	$1,000 to $15,000	2014-04-07	2014-04-14	2014-04-15	2014-04-21	2014-05-14	2014-06-13	2014-10-13
33	IHS	IHS Inc.	Lowenthal, Alan (D-Calif)	Purchased	$1,000 to $15,000	2014-01-15	2014-01-22	2014-01-23	2014-01-29	2014-02-21	2014-03-24	2014-07-21
34	JNJ	Johnson & Johnson	Lowenthal, Alan (D-Calif)	Purchased	$15,001 to $50,000	2013-04-11	2013-04-18	2013-04-19	2013-04-25	2013-05-20	2013-06-17	2013-10-15
35	KMP	Kinder Morgan Energy Partners, L.P.	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2014-02-14	2014-02-21	2014-02-24	2014-02-28	2014-03-24	2014-04-22	2014-08-20
36	KSU	Kansas City Southern	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2013-05-20	2013-05-27	2013-05-28	2013-06-03	2013-06-26	2013-07-26	2013-11-25
37	KSU	Kansas City Southern	Lowenthal, Alan (D-Calif)	Sold	$15,001 to $50,000	2014-10-15	2014-10-22	2014-10-23	2014-10-29	2014-11-21	2014-12-22	2015-04-20
38	KSU	Kansas City Southern	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2014-02-18	2014-02-25	2014-02-26	2014-03-04	2014-03-27	2014-04-28	2014-08-25
39	KSU	Kansas City Southern	Lowenthal, Alan (D-Calif)	Purchased	$1,000 to $15,000	2012-06-06	2012-06-13	2012-06-14	2012-06-20	2012-07-13	2012-08-13	2012-12-10
40	MSI	Motorola Solutions, Inc.	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2013-07-26	2013-08-02	2013-08-05	2013-08-09	2013-09-02	2013-10-01	2014-01-29
41	NMFC	New Mountain Finance Corporation	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2014-05-16	2014-05-23	2014-05-26	2014-05-30	2014-06-23	2014-07-22	2014-11-19
42	PLL	Pall Corporation	Lowenthal, Alan (D-Calif)	Sold	$15,001 to $50,000	2013-05-09	2013-05-16	2013-05-17	2013-05-23	2013-06-17	2013-07-15	2013-11-12
43	RGP	Regency Energy Partners LP	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2014-04-15	2014-04-22	2014-04-23	2014-04-29	2014-05-22	2014-06-23	2014-10-20
44	SU	Suncor Energy  Inc.	Lowenthal, Alan (D-Calif)	Sold	$15,001 to $50,000	2013-02-21	2013-02-28	2013-03-01	2013-03-07	2013-04-01	2013-04-29	2013-08-27
45	SU	Suncor Energy  Inc.	Lowenthal, Alan (D-Calif)	Sold	$1,000 to $15,000	2013-02-14	2013-02-21	2013-02-22	2013-02-28	2013-03-25	2013-04-22	2013-08-20
46	UPS	United Parcel Service, Inc.	Lowenthal, Alan (D-Calif)	Sold	$15,001 to $50,000	2013-10-03	2013-10-10	2013-10-11	2013-10-17	2013-11-11	2013-12-09	2014-04-08
47	URI	United Rentals, Inc.	Lowenthal, Alan (D-Calif)	Purchased	$1,000 to $15,000	2014-04-09	2014-04-16	2014-04-17	2014-04-23	2014-05-16	2014-06-16	2014-10-13
48	URI	United Rentals, Inc.	Lowenthal, Alan (D-Calif)	Purchased	$15,001 to $50,000	2014-04-16	2014-04-23	2014-04-24	2014-04-30	2014-05-23	2014-06-23	2014-10-20
49	V	Visa Inc.	Lowenthal, Alan (D-Calif)	Sold	$15,001 to $50,000	2013-08-06	2013-08-13	2013-08-14	2013-08-20	2013-09-12	2013-10-14	2014-02-10
